,Salinity,SO4,CH4_ug_m2_h,CO2_mg_m2_h,Sample,mcr.H2,mcr.Ac,MOB.I,MOB.IIa,MOB.IIb,MOB.III,pmoA.tot,amoA.tot,amoA.AOA,amoA.AOB,NOB.nxr,DsrAB.red,HydA
22,0.5218900224586843,2.6649238934380817,1.526740308669354,0.526176504727208,MayberryNE_TuleA_D1,8.580892269224734,6.633354813661041,6.136280360530592,4.49789982238731,0.0,0.0,6.538147630455491,3.232809906800475,2.299471503357241,1.16405006253694,3.671209482204032,8.749528037722193,12.17106844894408
23,0.5218900224586843,3.0211479357209945,1.526740308669354,0.526176504727208,MayberryNE_TuleA_D2,6.886382898825298,8.044542282914202,4.102923799261081,2.829839057063024,0.0,0.0,4.60247541946892,6.148387385125733,6.039130434232138,1.3803296984706455,5.397375893572078,9.361413453140395,11.119532219413717
24,0.5361466910555455,2.8103669536816254,1.6455728342685694,0.3129008504146031,MayberryNE_TuleB_D1,8.609658270949218,7.241714855907283,5.804535649027916,3.260549341094133,0.0,0.0,6.032853550067491,2.846328792591212,1.3105075983730918,2.2361533454204046,,9.16934227034955,13.137360852431943
25,0.5361466910555455,2.922102366807607,1.6455728342685694,0.3129008504146031,MayberryNE_TuleB_D2,8.035182100506102,5.919980472537499,3.0186324659891337,5.051883620570342,0.0,0.0,5.367222511704597,5.759031000954079,5.168243798975309,3.6458304254346476,4.343388309979335,9.678702271188895,11.920464459646919
26,0.5354974088798199,2.7078255683322316,2.351405836876459,0.6014300976477371,MayberryNE_TuleC_D1,9.123836852690918,6.534286410810726,6.674019352938838,6.023832892148453,0.0,0.0,7.385248121756638,2.739780491773341,1.16405006253694,1.1617855972809181,5.0059962991395945,8.897960265805969,12.305766249406716
27,0.5354974088798199,2.8502172417983895,2.351405836876459,0.6014300976477371,MayberryNE_TuleC_D2,7.315119071023867,5.396289395183096,3.746610534162649,5.411325895349566,0.0,0.0,5.806834681681611,7.548056234543986,7.509612715415614,1.3618798119159699,5.359430895167219,8.750696137390117,11.358668076401575
28,0.4913616938342727,2.318272080211627,1.4405735685847447,0.30144792389993363,MayberryNE_CattailA_D1,5.548653848195946,3.495637917620582,3.389086808879737,3.5585972626053857,0.0,0.0,4.476330198530056,7.1903496558072755,7.1903496558072755,0.0,7.24025251406092,7.889696021398291,10.225347680078286
29,0.4913616938342727,1.737987326333431,1.4405735685847447,0.30144792389993363,MayberryNE_CattailA_D2,4.136271740867878,3.925918959636438,0.0,0.0,0.0,0.0,0.0,6.181883325674854,6.181883325674854,0.0,7.369857080164636,7.551745712962761,9.329937991329217
30,0.5185139398778874,2.3057811512549824,1.2561079967234925,0.2338189062203487,MayberryNE_CattailB_D1,6.057300206411702,4.665284456515103,3.91293732166616,2.5137531307535284,0.0,0.0,4.376709875303766,7.653124853952722,7.621217215918217,2.1384796928532137,7.078462283147689,8.163872822850454,10.835594384845598
31,0.5185139398778874,1.7275412570285564,1.2561079967234925,0.2338189062203487,MayberryNE_CattailB_D2,2.648214897509355,4.426951280188004,0.0,0.0,0.0,0.0,0.0,6.882763893685287,6.853732908245646,1.2332437233539708,7.101112782641871,7.460024737951809,8.938556152767136
32,0.5185139398778874,2.2412973871099933,0.8280806048986827,0.023255377835833445,MayberryNE_CattailC_D1,4.197374969946354,2.0398026626182713,4.0152435897271985,3.578780256172386,0.0,0.0,4.813454946824544,6.3156137800790715,6.3156137800790715,0.0,7.497055417478738,7.7510656538115414,9.50028432979494
33,0.5185139398778874,1.808885867359812,0.8280806048986827,0.023255377835833445,MayberryNE_CattailC_D2,3.743591535831281,5.840804055339249,0.0,3.561364775229922,0.0,0.0,3.561364775229922,7.736653317805701,7.71537574645362,1.6427385341536682,7.0528526929111175,7.981236998036632,8.877973945283745
34,0.15104412158567593,2.348888723071438,3.104550607215682,1.0784430904330427,MayberrySE_TuleA_D1,5.635466325720315,3.9138793195314268,4.515908676833839,4.942337841502043,0.0,1.343388309979339,5.811522715370358,6.677904380982803,6.642738534153669,1.3019095694214742,6.378043476338591,8.48710739790111,10.895507124010747
35,0.291910141928852,2.5436956323092446,1.233313258365496,0.20677042657425473,MayberrySE_CattailA_D1,6.211741618311057,5.891176095900644,3.3844878695309872,5.434285853614174,0.0,1.0862469814828781,5.802351379630836,5.8574402624755555,5.782335882627939,1.5563254585904458,6.702105068134127,8.847687473728117,10.900216431647733
36,0.291910141928852,1.6541765418779606,1.233313258365496,0.20677042657425473,MayberrySE_CattailA_D2,3.488370039817011,5.012556301003438,1.1427610394080683,4.151442154437996,0.0,0.0,4.320405163117133,7.788886184923928,7.772402534462005,1.3290654207870005,7.2797558196637375,7.818086841048215,9.253095434003162
37,0.1817156193671772,2.688241795977712,2.7787368613035075,0.7920283925199753,MayberrySE_CattailB_D1,4.889560135686152,4.9319824877474545,0.0,1.1423215050614377,0.0,0.0,1.1423215050614377,6.394999053796531,6.302142172487826,2.3912058938764424,7.452921612984566,7.374918250053037,9.809959342865106
38,0.505149978319906,1.787460474518415,2.706432463899019,1.0283402657582144,MayberryNW_TuleA_D1,6.644058181220174,6.848713584600281,0.0,0.0,0.0,1.3055565809985041,1.3055565809985041,6.300651371536368,6.200181648365173,2.406774368022798,5.96525672877763,8.446320398813253,10.652775788813774
39,0.505149978319906,1.4885507165004443,2.706432463899019,1.0283402657582144,MayberryNW_TuleA_D2,6.674908371983834,7.538985827754594,1.4113258953495644,0.0,0.0,0.0,1.4113258953495644,8.490347396742253,8.478812540291678,1.5179612985399262,7.966350653622816,9.436803000768386,10.876301454993508
