 Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0.584971487522125	otu_5869
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0	otu_2214
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0.586621522903442	otu_2100
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0.50824773311615	otu_12
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0	otu_194
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0	otu_412
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0.488108962774277	otu_5588
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.483766943216324	0.633629620075226	-0.372804135084152	-0.372804135084152	-0.372804135084152	-0.372804135084152	0.633629620075226	-0.322555482387543	otu_1024
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.483766943216324	0.633629620075226	-0.372804135084152	-0.372804135084152	-0.372804135084152	-0.372804135084152	0.633629620075226	0	otu_5994
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.483766943216324	0.633629620075226	-0.372804135084152	-0.372804135084152	-0.372804135084152	-0.372804135084152	0.633629620075226	0	otu_1022
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.483766943216324	0.633629620075226	-0.372804135084152	-0.372804135084152	-0.372804135084152	-0.372804135084152	0.633629620075226	0	otu_6199
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Euryarchaeota	0.483766943216324	0.633629620075226	0.607620537281036	0.607620537281036	0.607620537281036	0.606473684310913	0.633629620075226	0.608421087265015	otu_140
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Euryarchaeota	0.483766943216324	0.633629620075226	0.607620537281036	0.607620537281036	0.607620537281036	0.606473684310913	0.633629620075226	0.628132522106171	otu_166
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA	Euryarchaeota	0.483766943216324	0.633629620075226	0.607620537281036	0.607620537281036	0.607620537281036	0.552851676940918	0.633629620075226	0.453108727931976	otu_4939
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA	Euryarchaeota	0.483766943216324	0.633629620075226	0.607620537281036	0.607620537281036	0.607620537281036	0.552851676940918	0.633629620075226	0.605276942253113	otu_4149
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronobacterium	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronobacterium	Euryarchaeota	0.483766943216324	0.633629620075226	0.607620537281036	0.607620537281036	0.607620537281036	0	0.633629620075226	0	otu_6118
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	0	otu_4420
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	0.390368103981018	0.390368103981018	0.633629620075226	0.442462474107742	otu_196
