"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"34"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Acidobacteriaceae (Subgroup 1)FA"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.22	0.3	0.33	-0.5
"35"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__Acidobacterium"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Acidobacterium"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.22	0.3	0.13	-0.5
"36"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__Occallatibacter"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Occallatibacter"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.22	0.3	0.1	-0.5
"37"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"AcidobacterialesOR"	"AcidobacterialesOR"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.22	-0.03	-0.03	-0.5
"38"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Cand. Koribacter"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Koribacteraceae"	"Cand. Koribacter"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.22	0.22	0.22	-0.5
"39"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AKIW659;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"AKIW659"	"AKIW659OR"	"AKIW659OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.23	0.23	0.23	-0.5
"40"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AMGG11;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"AMGG11"	"AMGG11OR"	"AMGG11OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.32	0.32	0.32	-0.5
"41"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Bryobacterales"	"Bryobacteraceae"	"Bryobacter"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.37	-0.37	-0.37	-0.5
"42"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Elev-16S-1166;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Elev-16S-1166"	"Elev-16S-1166OR"	"Elev-16S-1166OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.38	-0.38	-0.38	-0.5
"43"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__GOUTB8;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"GOUTB8"	"GOUTB8OR"	"GOUTB8OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.13	0.13	0.13	-0.5
"44"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Paludibaculum;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Paludibaculum"	"PaludibaculumOR"	"PaludibaculumOR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.19	-0.19	-0.19	-0.5
"45"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"PAUC26f"	"PAUC26fOR"	"PAUC26fOR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.12	-0.12	-0.12	-0.5
