"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"824"	"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"Methanomassiliicoccales"	"Methanomassiliicoccaceae"	"MethanomassiliicoccaceaeFA"	"Thermoplasmatota"	0.415608657847717	0.318830933017102	0.318830933017102	0.414131821212033	0.526899118357876	0.484447974446966	0.318830933017102
"826"	"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"Methanomassiliicoccales"	"Methanomassiliicoccaceae"	"Methanomassiliicoccus"	"Thermoplasmatota"	0.415608657847717	0.318830933017102	0.318830933017102	0.414131821212033	0.526899118357876	0.416233814058538	0.318830933017102
"1198"	"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__;g__"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"SG8-5"	"SG8-5OR"	"SG8-5OR"	"Thermoplasmatota"	0.415608657847717	0.318830933017102	0.318830933017102	0	0	0	0.318830933017102
"341"	"k__Bacteria;p__10bav-F6;c__;o__;f__;g__"	"Bacteria"	"10bav-F6"	"10bav-F6PH"	"10bav-F6PH"	"10bav-F6PH"	"10bav-F6PH"	"10bav-F6"	-0.402552510829417	0	0	0	0	0	0
"380"	"k__Bacteria;p__Acetothermia;c__Acetothermiia;o__;f__;g__"	"Bacteria"	"Acetothermia"	"Acetothermiia"	"AcetothermiiaCL"	"AcetothermiiaCL"	"AcetothermiiaCL"	"Acetothermia"	-0.402552510829417	0	0	0	0	0	0
"475"	"k__Bacteria;p__Acidobacteriota;c__;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"AcidobacteriotaPH"	"AcidobacteriotaPH"	"AcidobacteriotaPH"	"AcidobacteriotaPH"	"Acidobacteriota"	-0.402552510829417	0	0	0	0	0	0
"426"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"AcidobacteriaeCL"	"AcidobacteriaeCL"	"AcidobacteriaeCL"	"Acidobacteriota"	-0.402552510829417	0	0.21178875064404	-0.185856157380592	-0.185856157380592	-0.185856157380592	0
"445"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"AcidobacterialesOR"	"AcidobacterialesOR"	"Acidobacteriota"	-0.402552510829417	0	0.21178875064404	0.244784090491683	0	0	0
"423"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Acidobacteriaceae (Subgroup 1)FA"	"Acidobacteriota"	-0.402552510829417	0	0.21178875064404	0.244784090491683	0	0	0
"476"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__Acidobacterium"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Acidobacterium"	"Acidobacteriota"	-0.402552510829417	0	0.21178875064404	0.244784090491683	0	0	0
