"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"OTU"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"	"OTU_r"
"4982"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"NitrosopumilaceaeFA"	"Crenarchaeota"	"otu_553"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	-0.661328187617264	0	-0.676287070135597
"179"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_1158"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	0	0	-0.511777737083186
"259"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_123"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	0	0	0
"3097"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_3807"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	0	0	0
"4105"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosotenuis"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosotenuis"	"Crenarchaeota"	"otu_473"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	0	0	-0.457648752886845
"248"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	"otu_122"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	-0.541395588923962	0	-0.536525211698988
"6199"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	"otu_93"	0.482964558949783	0	0	-0.538706097074574	-0.538706097074574	-0.541395588923962	0	-0.698126798970058
"225"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_12"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0.507413692154343
"1111"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_200"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0.479043716289564
"1347"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_2214"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0
"3440"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_412"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0
"5015"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_556"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0.60321885946873
"5046"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_5588"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0.488108975957375
"5353"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_5869"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0.388284959107716	0	0.58497146791075
"1043"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Cand. Nitrocosmicus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"Cand. Nitrocosmicus"	"Crenarchaeota"	"otu_194"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0	0	0
"1222"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Cand. Nitrososphaera"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"Cand. Nitrososphaera"	"Crenarchaeota"	"otu_2100"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0	0	0.585174094358761
"2337"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Cand. Nitrososphaera"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"Cand. Nitrososphaera"	"Crenarchaeota"	"otu_3113"	0.482964558949783	0	0	0.387603014673299	0.387603014673299	0	0	0.460369546441932
"957"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosotaleales"	"Nitrosotaleaceae"	"NitrosotaleaceaeFA"	"Crenarchaeota"	"otu_1862"	0.482964558949783	0	0	-0.692190085983048	-0.692190085983048	-0.692190085983048	0	-0.692190085983048
