Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.386943578720093	otu_556
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.322456061840057	otu_3113
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.424494028091431	otu_5869
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0	otu_2214
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.523007392883301	otu_2100
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.284942388534546	otu_12
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0	otu_194
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.263020545244217	otu_412
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.433871239423752	otu_5588
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.426250219345093	0.540153920650482	-0.332112789154053	-0.332112789154053	-0.332112789154053	-0.332112789154053	0.540153920650482	-0.289536237716675	otu_1024
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.426250219345093	0.540153920650482	-0.332112789154053	-0.332112789154053	-0.332112789154053	-0.332112789154053	0.540153920650482	-0.214422181248665	otu_5994
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.426250219345093	0.540153920650482	-0.332112789154053	-0.332112789154053	-0.332112789154053	-0.332112789154053	0.540153920650482	-0.305470883846283	otu_1022
k__Archaea;p__Euryarchaeota	Archaea	Euryarchaeota	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	EuryarchaeotaPH	Euryarchaeota	0.426250219345093	0.540153920650482	-0.332112789154053	-0.332112789154053	-0.332112789154053	-0.332112789154053	0.540153920650482	0	otu_6199
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Euryarchaeota	0.426250219345093	0.540153920650482	0.464957296848297	0.464957296848297	0.464957296848297	0.489561915397644	0.540153920650482	0.486135482788086	otu_140
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Euryarchaeota	0.426250219345093	0.540153920650482	0.464957296848297	0.464957296848297	0.464957296848297	0.489561915397644	0.540153920650482	0.516602039337158	otu_166
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA	Euryarchaeota	0.426250219345093	0.540153920650482	0.464957296848297	0.464957296848297	0.464957296848297	0.491459250450134	0.540153920650482	0.428795039653778	otu_4939
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA	Euryarchaeota	0.426250219345093	0.540153920650482	0.464957296848297	0.464957296848297	0.464957296848297	0.491459250450134	0.540153920650482	0.52100396156311	otu_4149
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronobacterium	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronobacterium	Euryarchaeota	0.426250219345093	0.540153920650482	0.464957296848297	0.464957296848297	0.464957296848297	-0.246515110135078	0.540153920650482	-0.246515110135078	otu_6118
