Domain	Phylum	Class	Order	Family	Genus	Phylum_r	Class_r	Order_r	Family_r	Genus_r
Bacteria	Firmicutes	Clostridia	Gracilibacteraceae	Gracilibacter	GracilibacterFA	0.57	0.46	0.45	0.41	0.41
Bacteria	Firmicutes	Clostridia	Gracilibacteraceae	GracilibacteraceaeOR	GracilibacteraceaeOR	0.57	0.46	0.45	0.54	0.54
Bacteria	Firmicutes	Clostridia	Gracilibacteraceae	Lutispora	LutisporaFA	0.57	0.46	0.45	0.4	0.4
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	0.57	0.46	0.37	0.31	0.1
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	0.57	0.46	0.37	0.31	0.26
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Cellulosilyticum	0.57	0.46	0.37	0.31	0.52
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	LachnospiraceaeFA	0.57	0.46	0.37	0.31	0.21
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnotalea	0.57	0.46	0.37	0.31	0.13
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	0.57	0.46	0.37	0.31	0.5
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	0.57	0.46	0.37	0.31	0.04
Bacteria	Firmicutes	Clostridia	Lachnospirales	LachnospiralesOR	LachnospiralesOR	0.57	0.46	0.37	0.45	0.45
Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes groupFA	0.57	0.46	0.36	0.25	0.25
Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Anaerobacterium	0.57	0.46	0.36	0.36	0.01
Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ercella	0.57	0.46	0.36	0.36	0.34
Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	HungateiclostridiaceaeFA	0.57	0.46	0.36	0.36	0.15
