"CH4_mix"	"CH4_H2"	"CH4_ac"	"CH4_me"	"MOB_I"	"MOB_II"	"MOB_IIa"	"ANME"	"AOA"	"AOB"	"NOB"	"Anamx"	"SOxB"	"SRB_syn"	"SRB"	"FeOB"	"FeRB"	"Methanogen"	"Methanotroph"	"Methanogen_Troph"	"AOA_NOB"	"AOB_NOB"	"AO_NOB"
"Sandmound_ThreeSqB_D1"	311.445189855304	496.628816255756	58.9220629455981	33.6697502546274	3905.69102953679	49385.1061859749	12912.3492226497	0	17247.3295679329	61800.8265923688	28812.8887803975	0	1186.85869647562	5749.10985597764	39982.8284273702	858.578631493001	6094.22479608757	900.665819311285	66203.1464381614	0.0136045772409409	0.598597721297108	2.14490213263219	2.7434998539293
"Sandmound_ThreeSqB_D2"	396.192028616385	350.912939631654	45.2790889847296	11.3197722461824	4561.86821521151	34513.9855786102	10074.5972991023	0	42018.9945778291	67816.7555268789	43626.402236787	0	1131.97722461824	4561.86821521152	29499.3264735514	1075.37836338733	7086.17742611019	803.703829478951	49150.451092924	0.0163519115614924	0.96315516346653	1.55448884276077	2.5176440062273
"Sandmound_ThreeSqC_D1"	103.570213206682	295.914894876234	73.9787237190584	7.39787237190584	3114.50426857236	7420.06598902156	2507.87873407608	0	20418.1277464601	75894.772663382	33852.6639738412	0	1642.3276665631	4889.99363782976	34496.2788701969	991.314897835383	8403.98301448504	480.86170417388	13042.44899167	0.0368689733408962	0.603146853146852	2.24191433566433	2.84506118881119
"Sandmound_ThreeSqC_D2"	316.847653887144	518.477979088055	67.2101084003034	38.4057762287448	6135.32275254198	24013.2115870227	10811.2260083917	9.6014440571862	18261.9465967682	53489.6448425843	46413.3805724381	0	1565.03538132135	15160.680166297	63206.3062284567	3398.91119624391	7498.72780866242	940.941517604247	40969.3617920135	0.0229669557065854	0.393462970624742	1.15246172941663	1.54592470004137
"WestPond_TuleA_D1"	1718.37986874296	16737.2140887733	1388.29560017087	1359.1705176498	38105.3162983962	436.876237816007	3514.42662420877	0	0	14572.2496213739	339.79262941245	0	13737.3305891033	54959.0307172537	53823.1524989321	10853.9474195177	12038.3674420411	21203.0600753369	42056.6191604209	0.50415512465374	0	42.8857142857142	42.8857142857142
"WestPond_TuleA_D2"	8120.58330950534	23414.0762223766	3758.01642089784	3186.14435684817	36820.3913238838	1021.20011437441	21371.6759936277	0	8.1696009149953	10514.276377599	196.070421959887	0	35733.8344021895	89228.3811935787	104889.506147625	14697.1120460765	9476.73706139455	38478.8203096279	59213.2674318859	0.649834437086093	0.0416666666666667	53.625	53.6666666666667
"WestPond_TuleB_D1"	6056.59127472319	13400.2081953251	1305.95249361219	1977.85558815179	38535.0619854264	1523.61124254755	15179.331882275	0	28.390271600265	9094.35033595155	416.39065013722	0	14545.2824832024	83552.5693195798	105015.61464938	13040.5980883884	7769.47099460585	22740.6075518123	55238.0051102489	0.411684084289875	0.0681818181818181	21.8409090909091	21.9090909090909
"WestPond_TuleB_D2"	2698.66560446126	22296.3553077076	3694.48317068313	1513.64270065724	10884.285998805	1005.77574188409	1961.76060545708	0	59.7490539733122	3574.98506273651	468.034256124278	0	5038.83688508265	120045.807608046	110037.841067516	16600.2788289185	10744.871539534	30203.1467835093	13851.8223461462	2.1804457225018	0.127659574468085	7.63829787234044	7.76595744680852
"WestPond_TuleC_D1"	6061.41344168387	10832.2786918004	832.611736495038	2056.55098914275	37992.0735362685	1357.15713048691	16119.3632185439	0	24.9783520948512	11589.9553720109	124.891760474256	0	15511.5566509025	59548.3913941251	72154.1330846599	8092.98607873177	9849.7968427363	19782.8548591221	55468.5938852993	0.356649654758331	0.2	92.8	93
"WestPond_TuleC_D2"	10499.6837444655	11871.7462170973	1712.64535590911	2004.57354157544	48596.3119739211	2131.07575536418	23821.3399503722	0	38.9237580888434	9244.39254610033	272.466306621904	0	18907.2154916557	73653.4812436141	94613.9249744563	11171.1185714981	10139.6389821437	26088.6488590473	74548.7276796574	0.349954314058217	0.142857142857143	33.9285714285715	34.0714285714286
