"Sample"	"P01015"	"RecA"	"RpoB"	"amoA-AOA"	"amoA-AOB"	"AmoA-Ic"	"emoA"	"MOB-Ia"	"MOB-Ib"	"MOB-Ic"	"MOB-IIa"	"MOB-IIb"	"MOB-III"	"pxmA"	"p-amo-unk"	"NOB-nxr"	"NxrA-other"	"NxrB-other"	"HydA"	"DsrAB-red"	"DsrAB-ox"	"Dsr-AsrC"	"Dsr-2221"	"DsrA-ox"	"DsrA-red"	"DsrB-ox"	"DsrB-red"	"Dsr-no3so3"	"Dsr-unk"	"mcr-Ac"	"mcr-Ac-unk"	"mcr-H2"	"mcr-H2-unk"	"mcr-unk"
"1047923"	10	1645	332	2	1	0	0	0	0	0	0	0	0	3	0	8	371	733	778	1313	1112	93	742	546	671	566	642	502	321	NA	NA	NA	NA	NA
"1047926"	13	1215	225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	190	383	335	480	463	53	281	219	225	244	255	184	98	NA	NA	NA	NA	NA
"1047929"	31	1159	235	0	2	0	0	1	0	0	0	0	0	0	1	11	170	351	870	2105	239	88	876	105	1074	134	1031	799	492	0	0	1	0	0
"1047932"	41	1378	292	0	2	0	5	1	0	0	0	0	0	1	0	13	197	399	988	2059	264	85	1002	138	1021	126	1038	872	521	0	0	1	0	0
"1047935"	6	1366	276	2	0	0	1	0	0	0	0	0	0	1	4	18	246	463	197	732	1167	68	685	589	387	578	345	437	354	NA	NA	NA	NA	NA
"1047938"	12	1083	231	0	0	0	1	0	0	0	0	0	1	1	1	3	257	462	442	986	705	61	653	315	512	390	474	476	331	NA	NA	NA	NA	NA
"1047941"	17	1249	252	0	0	0	1	0	0	0	0	0	0	0	1	NA	267	506	691	1208	764	67	565	385	603	379	605	501	308	NA	NA	NA	NA	NA
"1047944"	13	1426	297	5	0	1	4	0	0	0	0	0	0	0	0	11	392	785	319	1076	601	88	849	289	518	312	558	595	407	NA	NA	NA	NA	NA
"1047947"	10	1093	226	2	0	1	0	0	0	0	0	0	0	1	2	10	224	448	250	895	580	76	668	278	435	302	460	444	314	NA	NA	NA	NA	NA
"1047950"	23	1138	232	8	1	0	0	1	0	0	0	0	0	0	0	13	293	601	662	1136	340	51	721	167	564	173	572	503	304	6	0	3	0	0
"1047956"	26	1114	273	7	0	0	2	0	0	0	0	0	0	0	1	11	315	609	768	1204	353	81	684	171	619	182	585	542	315	1	0	0	0	0
"1047959"	54	1341	344	0	1	0	0	29	3	0	2	0	0	30	2	9	234	436	1153	1889	1347	126	984	703	943	644	946	661	507	0	0	6	1	1
"1047962"	25	1329	312	20	0	0	2	3	0	0	19	0	0	12	5	34	206	458	582	781	434	85	633	238	372	196	409	302	335	1	0	1	0	0
"1047965"	35	1416	321	7	0	0	3	4	6	0	14	0	0	20	0	19	190	392	904	1382	860	94	670	438	667	422	715	515	394	1	0	3	0	0
"1047968"	39	1002	230	22	4	1	0	15	5	0	7	0	0	18	11	37	177	413	480	722	727	104	600	363	324	364	398	305	291	0	0	3	0	0
"1047971"	26	1263	326	16	3	0	2	3	0	0	9	0	0	14	7	28	199	430	791	997	674	81	604	367	521	307	476	356	329	2	0	5	0	0
"1047974"	24	1237	303	11	4	0	1	0	0	0	3	0	0	6	3	21	154	265	732	780	404	79	500	221	375	183	405	297	305	1	0	1	0	0
"1047977"	41	1339	281	16	0	0	4	5	3	0	15	0	0	17	3	21	202	402	1253	1113	584	88	660	303	551	281	562	462	384	3	0	6	0	0
