SampleID	HydA	DsrAB.red	DsrAB.ox	NxrA.other	NxrB.other	NOB.nxr	AmoA.Ic	amoA.AOB	amoA.AOA	p.amo.unk	emoA	pxmA	MOB.III	MOB.IIb	MOB.IIa	MOB.Ic	MOB.Ib	MOB.Ia	mcr.Ac	mcr.H2	pmoA_MOB	mcrA
RushSE_TuleB_D2	3511.469052	3898.691924	1027.028435	587.6962083	1378.761969	68.98899959	0	19.93476349	7.095284947	16.10120759	9.318578917	36.09937881	0	0	16.80267499	0	2.188763327	23.43109306	0	15.27706485	42.42253137	15.27706485
RushSE_TuleC_D1	853.0274201	965.7329255	392.1451029	2.508730382	990.5833435	103.1741384	0	21.23209869	9.239432976	34.39783156	14.37810387	42.58893398	0	0	24.72365139	0	9.255874009	17.35335332	0	2.701330135	51.33287871	2.701330135
RushSE_TuleC_D2	2721.095766	3666.70615	1023.887114	483.8583434	1094.844301	105.6555188	0	15.8053206	20.03440193	36.41605341	5.491714376	39.63134046	0	0	6.071461097	0	0	35.31605515	0	5.010672733	41.38751625	5.010672733
RushSE_CattailNLA_D1	2875.590185	1094.116585	386.5179258	1.757095591	1024.286761	77.88364184	0	7.398401452	10.83118515	5.491307261	4.692214209	18.97440624	0	0	5.523808998	0	4.798061583	23.18924225	NA	NA	33.51111283	#VALUE!
RushSE_CattailNLA_D2	2900.984808	2842.241484	1278.532773	683.0096258	1467.479604	69.80299793	0	5.074931362	4.983690872	8.901806399	7.810364353	43.70327775	0	0	0	0	13.13394257	15.32134329	0	4.190605501	28.45528586	4.190605501
RushSE_CattailNLB_D1	2714.815778	860.4124905	656.8066535	4.076474665	628.7400381	67.73572031	2.875620775	27.18969758	0	8.365470683	4.33833833	4.586377541	0	0	5.062650297	0	3.669522779	20.82571652	NA	NA	29.5578896	#VALUE!
RushSE_CattailNLB_D2	2342.690936	2579.076996	1091.054643	528.8023496	996.8370629	54.55265636	0	22.57938707	7.902660299	27.02815597	7.06321103	63.72809347	0	0	5.309941272	0	2.852627555	40.01570616	2.651436814	2.510500167	48.17827499	5.161936981
RushSE_CattailNLC_D1	1892.14492	803.8750478	476.2108271	0	1183.748591	59.7412501	0	33.26257477	4.932267635	8.653737982	12.88291236	16.47392178	0	0	0	0	0	9.596123166	NA	NA	9.596123166	#VALUE!
RushSE_CattailNLC_D2	1645.851066	2616.583452	959.637448	690.0648137	1245.159541	53.51941098	0	11.64822365	7.612397042	15.76196727	13.13257996	40.0581288	0	0	27.81532847	0	8.401337493	63.04292435	6.110825939	9.583478084	99.25959032	15.69430402
RushMan_CattailNLA_D2	6604.18488	6936.036528	965.5995554	308.8547555	759.4308454	4.076474665	0	0	0	0	0	30.67339251	0	0	21.63196989	0	2.472365139	14.67809111	137.7678369	219.7629049	38.78242614	357.5307417
