"filename","file_id","JGI Grouping ID","directory/path","Short Organism Name","Genome/Metagenome Name","md5 checksum","file size"
"8550.1.104089.CAGGCG.anqdp.fastq.gz","548679900d87850ddcd6d0cb","IMG_SP-1047977","Joice_ThreeSqC_D_5/Filtered_Raw_Data","Joice_ThreeSqC_D_5","Joice_ThreeSqC_D1","eef66467f0e8cabbe3711ad86154aee1","6206857908"
"8571.1.104353.ACAGTG.anqdp.fastq.gz","54b83a350d8785565d4728f4","IMG_SP-1047896","Browns_ThreeSqA__5/Filtered_Raw_Data","Browns_ThreeSqA__5","Browns_ThreeSqA_D2","d475b6413088911d04ee6e7150510a41","4950515980"
"8571.1.104353.GATCAG.anqdp.fastq.gz","54b83ea90d8785565d472904","IMG_SP-1047905","Wetmics_TuleA_D2/Filtered_Raw_Data","Wetmics_TuleA_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Browns_TuleA_D2","84b21496a9a0d2f0f68380f67e08e2b6","4833645258"
"8571.1.104353.TAGCTT.anqdp.fastq.gz","54b842b60d8785565d472912","IMG_SP-1047908","Browns_TuleB_D2_3/Filtered_Raw_Data","Browns_TuleB_D2_3","Browns_TuleB_D2","e801444c0c728f1b9b470b2a4aa1bfa5","5085234305"
"8572.1.104365.GTCCGC.anqdp.fastq.gz","54b849db0d8785565d472930","IMG_SP-1047932","China_Galinas_Co_7/Filtered_Raw_Data","China_Galinas_Co_7","China_Galinas_CordC_D2","efcfa3e214cfe37fd381237ec5bdc489","6886548755"
"8550.1.104089.ATGAGC.anqdp.fastq.gz","548672900d87850ddcd6d0bd","IMG_SP-1047956","Goodyear_PhragC__3/Filtered_Raw_Data","Goodyear_PhragC__3","Goodyear_PhragC_D2","d8033002694666a844fa459f558803a5","5303140139"
"8550.1.104089.CATTTT.anqdp.fastq.gz","548679960d87850ddcd6d0cc","IMG_SP-1047983","WetmichreeSqC_D2_2/Filtered_Raw_Data","WetmichreeSqC_D2_2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Joice_ThreeSqC_D2","4fd557496d459a40a859c9b558f20f9b","5717381494"
"8550.1.104089.CGGAAT.anqdp.fastq.gz","548679a50d87850ddcd6d0ce","IMG_SP-1047989","MayberryNW_Catta_11/Filtered_Raw_Data","MayberryNW_Catta_11","MayberryNW_CattailC_D1","de2240e0e53f457cc060886fdd88f75b","5680063506"
"8551.1.104021.TAATCG.anqdp.fastq.gz","5484be830d87850ddcd6c857","IMG_SP-1048004","WetmicW_TuleB_D2/Filtered_Raw_Data","WetmicW_TuleB_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleB_D2","2603406932aa43d57e93bffb3c986507","5290491706"
"8571.1.104353.CTTGTA.anqdp.fastq.gz","54b842c00d8785565d472913","IMG_SP-1047914","China_Bullhead_C_7/Filtered_Raw_Data","China_Bullhead_C_7","China_Bullhead_CordA_D2","9e3d0223914a9fd60ae76d0c1f33e6ad","5436333012"
"8571.1.104353.AGTCAA.anqdp.fastq.gz","54b845520d8785565d472920","IMG_SP-1047917","China_Bullhead_C_8/Filtered_Raw_Data","China_Bullhead_C_8","China_Bullhead_CordB_D2","36511b98e0d69dea5a8b85c586308f75","6706193506"
"8572.1.104365.AGTTCC.anqdp.fastq.gz","54b849c30d8785565d47292e","IMG_SP-1047920","China_Bullhead_C_9/Filtered_Raw_Data","China_Bullhead_C_9","China_Bullhead_CordC_D2","32259d19a15c36b20b20730a85b213bf","6528812853"
"8551.1.104021.CTATAC.anqdp.fastq.gz","5484b61e0d87850ddcd6c852","IMG_SP-1047995","MayberryNW_Catta_8/Filtered_Raw_Data","MayberryNW_Catta_8","MayberryNW_CattailC_D2","ba678405deaf2e260a9f1c951589d395","5337912994"
"8551.1.104021.TATAAT.anqdp.fastq.gz","5484c6f20d87850ddcd6c85f","IMG_SP-1048010","Muzzi_CordA_D2_3/Filtered_Raw_Data","Muzzi_CordA_D2_3","Muzzi_CordA_D2","1d53136a66b3f49c98989d895a0a6d2f","5192515812"
"8572.1.104365.CCGTCC.anqdp.fastq.gz","54b842c90d8785565d472914","IMG_SP-1047926","China_Galinas_PW_15/Filtered_Raw_Data","China_Galinas_PW_15","China_Galinas_PWA_D1","0e14d7c839a15cbf5e73626ac752cd33","5092423332"
"8572.1.104365.GTAGAG.anqdp.fastq.gz","54b8455a0d8785565d472921","IMG_SP-1047929","Wetmics_CordB_D2/Filtered_Raw_Data","Wetmics_CordB_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - China_Galinas_CordB_D2","6c2ac2d869425ba1fcd3c36dc6448829","5589421362"
"8550.1.104089.CCAACA.anqdp.fastq.gz","5486799e0d87850ddcd6d0cd","IMG_SP-1047986","MayberryNW_Catta_7/Filtered_Raw_Data","MayberryNW_Catta_7","MayberryNW_CattailA_D2","77ccc88367b1dfc39255c02f6344960c","6939293563"
"8551.1.104021.CTAGCT.anqdp.fastq.gz","5484b3510d87850ddcd6c850","IMG_SP-1047992","MayberryNW_Catta_10/Filtered_Raw_Data","MayberryNW_Catta_10","MayberryNW_CattailB_D2","2a77a82af1ac0ca0f602673043ee7403","5786594997"
"8551.1.104021.CTCAGA.anqdp.fastq.gz","5484b8ef0d87850ddcd6c854","IMG_SP-1047998","MayberryNW_TuleA_3/Filtered_Raw_Data","MayberryNW_TuleA_3","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleA_D2","373bf1d9107ac94274ffa062c3330344","6066528118"
"8571.1.104353.GGCTAC.anqdp.fastq.gz","54b83eb20d8785565d472905","IMG_SP-1047911","Browns_TuleC_D2_3/Filtered_Raw_Data","Browns_TuleC_D2_3","Browns_TuleC_D2","2d24afef52824df7da86023bdb54018c","4472654641"
"8550.1.104089.CACCGG.anqdp.fastq.gz","548672be0d87850ddcd6d0bf","IMG_SP-1047968","Joice_CattailNLC_5/Filtered_Raw_Data","Joice_CattailNLC_5","Joice_CattailNLC_D2","260108160cfa3e8e839c33a71c88a207","4987702973"
"8571.1.104353.CGATGT.anqdp.fastq.gz","54b842980d8785565d47290f","IMG_SP-1047887","Browns_ThreeSqA__6/Filtered_Raw_Data","Browns_ThreeSqA__6","Browns_ThreeSqA_D1","5dae6a7ac7d1d3c4cdba3424bf487c6f","5341653521"
"8571.1.104353.TTAGGC.anqdp.fastq.gz","54b83a290d8785565d4728f3","IMG_SP-1047890","Browns_ThreeSqB__5/Filtered_Raw_Data","Browns_ThreeSqB__5","Browns_ThreeSqB_D1","fdb18c346c3ebdb4b8971c8dec7dbfc8","4817594350"
"8551.1.104021.GACGAC.anqdp.fastq.gz","5484bbbd0d87850ddcd6c856","IMG_SP-1048001","MayberryNW_TuleB_5/Filtered_Raw_Data","MayberryNW_TuleB_5","MayberryNW_TuleB_D1","7f698234102a7aae04a1a40c383d8e3f","4741030714"
